fips,county_name,labor_force,file_week_ended,percent_unemployed,total_unemployed
1001,Autauga ,25819,5/2/20,25.54,6593
1003,Baldwin,102814,5/2/20,26.93,27685
1005,Barbour,9431,5/2/20,27.46,2590
1007,Bibb,8679,5/2/20,24.97,2167
1009,Blount,22196,5/2/20,22.97,5098
1011,Bullock,4578,5/2/20,25.19,1153
1013,Butler,8026,5/2/20,28.57,2293
1015,Calhoun,51415,5/2/20,29.27,15051
1017,Chambers,15175,5/2/20,28.54,4331
1019,Cherokee,10391,5/2/20,25.68,2668
1021,Chilton,18916,5/2/20,24.86,4703
1023,Choctaw,4528,5/2/20,27.32,1237
1025,Clarke,8877,5/2/20,29.35,2605
1027,Clay,5751,5/2/20,27.44,1578
1029,Cleburne,6207,5/2/20,26.42,1640
1031,Coffee,23168,5/2/20,26.03,6030
1033,Colbert,23614,5/2/20,29.08,6867
1035,Conecuh,4435,5/2/20,28.34,1257
1037,Coosa,4196,5/2/20,27.03,1134
1039,Covington,15882,5/2/20,24.6,3907
1041,Crenshaw,5946,5/2/20,24.89,1480
1043,Cullman,34360,5/2/20,25.11,8627
1045,Dale,19535,5/2/20,26.62,5200
1047,Dallas,15471,5/2/20,29.36,4543
1049,DeKalb,29868,5/2/20,25.78,7699
1051,Elmore,35835,5/2/20,23.79,8524
1053,Escambia,13397,5/2/20,27.8,3725
1055,Etowah,43863,5/2/20,30.15,13225
1057,Fayette,6645,5/2/20,26.34,1750
1059,Franklin,13414,5/2/20,27.13,3639
1061,Geneva,11039,5/2/20,24,2649
1063,Greene,2713,5/2/20,28.53,774
1065,Hale,5634,5/2/20,29.07,1638
1067,Henry,7359,5/2/20,27.69,2038
1069,Houston,47839,5/2/20,28.39,13580
1071,Jackson,21451,5/2/20,27.21,5836
1073,Jefferson,321865,5/2/20,26.59,85590
1075,Lamar,5691,5/2/20,24.64,1402
1077,Lauderdale,42209,5/2/20,31.01,13091
1079,Lawrence,13058,5/2/20,25.99,3394
1081,Lee,80220,5/2/20,30.06,24116
1083,Limestone,44380,5/2/20,27.81,12342
1085,Lowndes,3755,5/2/20,28.89,1085
1087,Macon,7993,5/2/20,30.51,2439
1089,Madison,189234,5/2/20,26.13,49446
1091,Marengo,7111,5/2/20,27.06,1924
1093,Marion,12279,5/2/20,27.63,3393
1095,Marshall,41147,5/2/20,28.25,11625
1097,Mobile,185066,5/2/20,29.09,53838
1099,Monroe,7566,5/2/20,28.26,2138
1101,Montgomery,107149,5/2/20,28.36,30391
1103,Morgan,53435,5/2/20,28.45,15200
1105,Perry,2572,5/2/20,27.8,715
1107,Pickens,7810,5/2/20,25.74,2010
1109,Pike,15614,5/2/20,30.49,4760
1111,Randolph,9081,5/2/20,25.9,2352
1113,Russell,24993,5/2/20,27.9,6972
1115,St-Clair,41678,5/2/20,25.26,10527
1117,Shelby,113556,5/2/20,24.32,27618
1119,Sumter,4763,5/2/20,33.57,1599
1121,Talladega,33584,5/2/20,29.07,9764
1123,Tallapoosa,16531,5/2/20,26.55,4389
1125,Tuscaloosa,99435,5/2/20,28.84,28673
1127,Walker,25828,5/2/20,26.76,6911
1129,Washington,6104,5/2/20,26.21,1600
1131,Wilcox,3326,5/2/20,27.78,924
1133,Winston,9543,5/2/20,25.72,2454
2013,Aleutians-East,2683,5/2/20,30.79,826
2016,Aleutians-West,4166,5/2/20,30.03,1251
2020,Anchorage,154286,5/2/20,31.57,48708
2050,Bethel,7332,5/2/20,34.59,2536
2060,Bristol-Bay,499,5/2/20,28.06,140
2068,Denali,1295,5/2/20,43.78,567
2070,Dillingham,2127,5/2/20,30.84,656
2090,Fairbanks-North-Star,48499,5/2/20,30.56,14822
2100,Haines,1452,5/2/20,41.05,596
2105,Hoonah-Angoon,1111,5/2/20,39.6,440
2110,Juneau-City,18340,5/2/20,25.59,4693
2122,Kenai-Peninsula,27420,5/2/20,32.8,8995
2130,Ketchikan-Gateway,7353,5/2/20,31.46,2313
2150,Kodiak-Island,6965,5/2/20,32.03,2231
2158,Kusilvak,2859,5/2/20,41.66,1191
2164,Lake-and-Peninsula,760,5/2/20,31.71,241
2170,Matanuska-Susitna,49891,5/2/20,31.03,15482
2180,Nome,4249,5/2/20,35.07,1490
2185,North-Slope,5831,5/2/20,24.16,1409
2188,Northwest-Arctic,3136,5/2/20,35.01,1098
2195,Petersburg,1677,5/2/20,31.66,531
2198,Prince-of-Wales-Hyder,3107,5/2/20,31.28,972
2220,Sitka-City,4726,5/2/20,29.64,1401
2230,Skagway,798,5/2/20,40.48,323
2240,Southeast-Fairbanks,3335,5/2/20,26.81,894
2261,Valdez-Cordova,4863,5/2/20,27,1313
2275,Wrangell-City,1131,5/2/20,30.5,345
2282,Yakutat-City,356,5/2/20,28.93,103
2290,Yukon-Koyukuk,2412,5/2/20,35.9,866
4001,Apache,20639,5/2/20,26.31,5431
4003,Cochise,45635,5/2/20,21.91,10000
4005,Coconino,72578,5/2/20,28.25,20505
4007,Gila,20259,5/2/20,22.98,4656
4009,Graham,13984,5/2/20,21.41,2994
4011,Greenlee,3997,5/2/20,14.39,575
4012,La-Paz,7055,5/2/20,24.66,1740
4013,Maricopa,2281814,5/2/20,22.1,504258
4015,Mohave,77783,5/2/20,28.47,22141
4017,Navajo,39829,5/2/20,25.93,10329
4019,Pima,481648,5/2/20,23.39,112647
4021,Pinal,174260,5/2/20,23.52,40982
4023,Santa-Cruz,18695,5/2/20,25.24,4719
4025,Yavapai,93394,5/2/20,24.5,22879
4027,Yuma,86030,5/2/20,29.65,25505
5001,Arkansas,8155,5/2/20,18.98,1548
5003,Ashley,8409,5/2/20,19.22,1616
5005,Baxter,16941,5/2/20,21.96,3721
5007,Benton,137433,5/2/20,20.5,28167
5009,Boone,16798,5/2/20,20.06,3369
5011,Bradley,4464,5/2/20,17.83,796
5013,Calhoun,2387,5/2/20,18.43,440
5015,Carroll,12315,5/2/20,21.05,2592
5017,Chicot,3753,5/2/20,20.86,783
5019,Clark,10458,5/2/20,23.04,2410
5021,Clay,6362,5/2/20,21.08,1341
5023,Cleburne,10477,5/2/20,20.65,2163
5025,Cleveland,3416,5/2/20,16.63,568
5027,Columbia,10534,5/2/20,22.69,2390
5029,Conway,9095,5/2/20,18.02,1639
5031,Craighead,53914,5/2/20,19.67,10607
5033,Crawford,28192,5/2/20,20.08,5661
5035,Crittenden,21675,5/2/20,19.9,4314
5037,Cross,7440,5/2/20,18.52,1378
5039,Dallas,2923,5/2/20,19.91,582
5041,Desha,4675,5/2/20,18.07,845
5043,Drew,8173,5/2/20,22.32,1824
5045,Faulkner,63123,5/2/20,19.98,12609
5047,Franklin,7073,5/2/20,18.8,1330
5049,Fulton,4462,5/2/20,21,937
5051,Garland,44280,5/2/20,21.37,9462
5051,Garland ,44280,5/2/20,21.37,9462
5053,Grant,8358,5/2/20,17.79,1487
5055,Greene,21087,5/2/20,20.47,4316
5057,Hempstead,9134,5/2/20,21.31,1946
5059,Hot-Spring,14442,5/2/20,20.06,2897
5061,Howard,5795,5/2/20,18.45,1069
5063,Independence,16359,5/2/20,19.77,3234
5065,Izard,5098,5/2/20,21.18,1080
5067,Jackson,5813,5/2/20,20.42,1187
5069,Jefferson,28228,5/2/20,18.76,5295
5071,Johnson,11270,5/2/20,21.82,2459
5073,Lafayette,2637,5/2/20,17.67,466
5075,Lawrence,6816,5/2/20,19.57,1334
5077,Lee,3071,5/2/20,17.88,549
5079,Lincoln,3494,5/2/20,19.66,687
5081,Little-River,5008,5/2/20,20.81,1042
5083,Logan,9056,5/2/20,19.17,1736
5085,Lonoke,35814,5/2/20,19.66,7040
5087,Madison,7054,5/2/20,17.31,1221
5089,Marion,5825,5/2/20,22.51,1311
5091,Miller,19830,5/2/20,21.62,4287
5093,Mississippi,18126,5/2/20,21.14,3832
5095,Monroe,2893,5/2/20,19.91,576
5097,Montgomery,3331,5/2/20,17.68,589
5099,Nevada,3343,5/2/20,18.91,632
5101,Newton,3176,5/2/20,17.82,566
5103,Ouachita,9694,5/2/20,20.31,1969
5105,Perry,4214,5/2/20,18.41,776
5107,Phillips,7171,5/2/20,21.48,1540
5109,Pike,4603,5/2/20,17.49,805
5111,Poinsett,9851,5/2/20,18.75,1847
5113,Polk,7785,5/2/20,19.6,1526
5115,Pope,29504,5/2/20,21.49,6340
5117,Prairie,3582,5/2/20,17.2,616
5119,Pulaski,194272,5/2/20,18.94,36787
5121,Randolph,6912,5/2/20,17.85,1234
5123,St-Francis,9065,5/2/20,21.15,1917
5125,Saline,61876,5/2/20,18.42,11398
5127,Scott,4409,5/2/20,20.78,916
5129,Searcy,3170,5/2/20,18.8,596
5131,Sebastian,58963,5/2/20,21.15,12472
5133,Sevier,7704,5/2/20,19.63,1512
5135,Sharp,6398,5/2/20,21.76,1392
5137,Stone,4727,5/2/20,17.71,837
5139,Union,16373,5/2/20,20.78,3402
5141,Van-Buren,6054,5/2/20,19.49,1180
5143,Washington,121982,5/2/20,20.59,25119
5145,White,34842,5/2/20,21.07,7342
5147,Woodruff,2729,5/2/20,17.15,468
5149,Yell,9326,5/2/20,19.68,1835
6001,Alameda,929474,5/2/20,26.57,246954
6003,Alpine,413,5/2/20,26.63,110
6005,Amador,15889,5/2/20,29.37,4666
6007,Butte,107074,5/2/20,31.79,34035
6009,Calaveras,18434,5/2/20,26.22,4833
6011,Colusa,10290,5/2/20,32.35,3329
6013,Contra-Costa,610297,5/2/20,26.74,163192
6015,Del-Norte,9899,5/2/20,29.04,2875
6017,El-Dorado,91987,5/2/20,26.41,24298
6019,Fresno,457081,5/2/20,29.42,134477
6021,Glenn,11957,5/2/20,25.63,3064
6023,Humboldt,66617,5/2/20,27.76,18491
6025,Imperial,73065,5/2/20,35.62,26029
6027,Inyo,8579,5/2/20,27.43,2353
6029,Kern,392807,5/2/20,27.62,108475
6031,Kings,60226,5/2/20,24.8,14936
6033,Lake,25614,5/2/20,27.54,7053
6035,Lassen,9411,5/2/20,21.26,2001
6037,Los-Angeles,5324891,5/2/20,29.38,1564549
6039,Madera,63072,5/2/20,28.12,17733
6041,Marin,140462,5/2/20,24.58,34526
6043,Mariposa,7712,5/2/20,35.57,2743
6045,Mendocino,41602,5/2/20,27.45,11421
6047,Merced,122124,5/2/20,28.77,35137
6049,Modoc,3361,5/2/20,25.14,845
6051,Mono,8413,5/2/20,35.46,2983
6053,Monterey,195640,5/2/20,27.41,53622
6055,Napa,76198,5/2/20,29.59,22548
6057,Nevada,46417,5/2/20,24.89,11551
6059,Orange,1698077,5/2/20,28.37,481775
6061,Placer,194272,5/2/20,25.24,49036
6063,Plumas,7971,5/2/20,32.13,2561
6065,Riverside,1173764,5/2/20,29.03,340700
6067,Sacramento,776094,5/2/20,26.11,202633
6069,San-Benito,32340,5/2/20,27.72,8966
6071,San-Bernardino,1015724,5/2/20,28.04,284802
6073,San-Diego,1713757,5/2/20,28.73,492375
6075,San-Francisco,555634,5/2/20,26.53,147420
6077,San-Joaquin,354178,5/2/20,28.16,99749
6079,San-Luis-Obispo,137970,5/2/20,28.53,39360
6081,San-Mateo,441221,5/2/20,24.88,109771
6083,Santa-Barbara,228628,5/2/20,29.56,67576
6085,Santa-Clara,1078084,5/2/20,25.55,275467
6087,Santa-Cruz,148075,5/2/20,29.18,43208
6089,Shasta,78719,5/2/20,29.53,23242
6091,Sierra,1238,5/2/20,23.26,288
6093,Siskiyou,18310,5/2/20,29.05,5319
6095,Solano,227901,5/2/20,27.19,61974
6097,Sonoma,272118,5/2/20,28.2,76750
6099,Stanislaus,260020,5/2/20,29.78,77442
6101,Sutter,44081,5/2/20,29.29,12911
6103,Tehama,27031,5/2/20,31.13,8414
6105,Trinity,5006,5/2/20,32.3,1617
6107,Tulare,200982,5/2/20,29.53,59340
6109,Tuolumne,22458,5/2/20,28.4,6379
6111,Ventura,444267,5/2/20,26.54,117930
6113,Yolo,109993,5/2/20,27.81,30591
6115,Yuba,33086,5/2/20,29.76,9848
8001,Adams,284526,5/2/20,17.22,48995
8003,Alamosa,7657,5/2/20,19.81,1517
8005,Arapahoe,374546,5/2/20,16.76,62787
8007,Archuleta,6727,5/2/20,17.15,1154
8009,Baca,1695,5/2/20,11.03,187
8011,Bent,1564,5/2/20,12.47,195
8013,Boulder,192131,5/2/20,16.6,31892
8014,Broomfield,41007,5/2/20,15.47,6344
8015,Chaffee,9434,5/2/20,17.25,1627
8017,Cheyenne,961,5/2/20,9.57,92
8019,Clear-Creek,5728,5/2/20,15.43,884
8021,Conejos,3321,5/2/20,16.8,558
8023,Costilla,1475,5/2/20,18.03,266
8025,Crowley,2428,5/2/20,16.27,395
8027,Custer,1778,5/2/20,14.62,260
8029,Delta,12765,5/2/20,15.53,1982
8031,Denver,429267,5/2/20,16.72,71788
8033,Dolores,1001,5/2/20,19.58,196
8035,Douglas,198520,5/2/20,15.33,30434
8037,Eagle,36120,5/2/20,20.6,7440
8039,Elbert,15091,5/2/20,13.7,2067
8041,El-Paso,359022,5/2/20,18,64632
8043,Fremont,16166,5/2/20,17.81,2879
8045,Garfield,33887,5/2/20,16.41,5560
8047,Gilpin,3938,5/2/20,18.13,714
8049,Grand,9846,5/2/20,18.5,1822
8051,Gunnison,11166,5/2/20,19.78,2209
8053,Hinsdale,415,5/2/20,16.63,69
8055,Huerfano,2848,5/2/20,22.96,654
8057,Jackson,783,5/2/20,11.37,89
8059,Jefferson,337464,5/2/20,16.23,54786
8061,Kiowa,685,5/2/20,13.14,90
8063,Kit-Carson,3391,5/2/20,13.3,451
8065,Lake,4519,5/2/20,17.46,789
8067,La-Plata,32226,5/2/20,17.8,5736
8069,Larimer,200185,5/2/20,16.87,33762
8071,Las-Animas,6734,5/2/20,17.42,1173
8073,Lincoln,1568,5/2/20,14.86,233
8075,Logan,11290,5/2/20,15.61,1762
8077,Mesa,78926,5/2/20,16.95,13375
8079,Mineral,349,5/2/20,19.77,69
8081,Moffat,6681,5/2/20,16.91,1130
8083,Montezuma,12391,5/2/20,18.95,2348
8085,Montrose,19576,5/2/20,17.02,3331
8087,Morgan,14255,5/2/20,16.15,2302
8089,Otero,7977,5/2/20,16.6,1324
8091,Ouray,2593,5/2/20,17.47,453
8093,Park,10802,5/2/20,15.88,1715
8095,Phillips,2141,5/2/20,13.4,287
8097,Pitkin,12273,5/2/20,20.84,2558
8099,Prowers,5897,5/2/20,15.53,916
8101,Pueblo,76854,5/2/20,19.96,15339
8103,Rio-Blanco,3189,5/2/20,14.3,456
8105,Rio-Grande,5093,5/2/20,15.26,777
8107,Routt,16228,5/2/20,18.15,2946
8109,Saguache,2989,5/2/20,14.82,443
8111,San-Juan,466,5/2/20,21.24,99
8113,San-Miguel,5323,5/2/20,21.45,1142
8115,Sedgwick,1063,5/2/20,12.61,134
8117,Summit,21112,5/2/20,21.29,4494
8119,Teller,13586,5/2/20,16.85,2289
8121,Washington,2372,5/2/20,11.97,284
8123,Weld,169257,5/2/20,16.44,27833
8125,Yuma,5058,5/2/20,12.71,643
9001,Fairfield,514584,5/2/20,22.47,115640
9003,Hartford,476492,5/2/20,21.94,104529
9005,Litchfield,102105,5/2/20,22.67,23147
9007,Middlesex,92367,5/2/20,19.81,18296
9009,New-Haven,456272,5/2/20,22.41,102250
9011,New-London,141859,5/2/20,23.29,33043
9013,Toll ,85278,5/2/20,21.11,18003
9013,Tolland,85278,5/2/20,21.11,18003
9015,Windham,63991,5/2/20,24.36,15588
10001,Kent,87000,5/2/20,23.55,20490
10003,New-Castle,290307,5/2/20,21.37,62039
10005,Sussex,107769,5/2/20,23.07,24867
11001,District-of-Columbia,409014,5/2/20,17.76,72625
12001,Alachua,135140,5/2/20,25.38,34301
12003,Baker,11740,5/2/20,21.69,2546
12005,Bay,89001,5/2/20,28.19,25085
12007,Bradford,10245,5/2/20,20.85,2136
12009,Brevard,278174,5/2/20,25.17,70010
12011,Broward,1057464,5/2/20,23.5,248494
12013,Calhoun,5253,5/2/20,22.83,1199
12015,Charlotte,71051,5/2/20,26.06,18513
12017,Citrus,53017,5/2/20,26.54,14070
12019,Clay,108907,5/2/20,24.23,26389
12021,Collier,174314,5/2/20,25.44,44346
12023,Columbia,29532,5/2/20,24.78,7318
12027,DeSoto,14538,5/2/20,17.35,2523
12029,Dixie,5246,5/2/20,20.64,1083
12031,Duval,490405,5/2/20,23.45,115023
12033,Escambia,148700,5/2/20,26.2,38957
12035,Flagler,46537,5/2/20,25.32,11783
12037,Franklin,4702,5/2/20,21.99,1034
12039,Gadsden,17910,5/2/20,20.7,3707
12041,Gilchrist,7380,5/2/20,22.86,1687
12043,Glades,4857,5/2/20,21.45,1042
12045,Gulf,6278,5/2/20,25.25,1585
12047,Hamilton,4410,5/2/20,22.61,997
12049,Hardee,10953,5/2/20,20.59,2255
12051,Hendry,19278,5/2/20,18.54,3574
12053,Hernando,76140,5/2/20,26.29,20018
12055,Highlands,38568,5/2/20,26.39,10180
12055,Highlands ,38568,5/2/20,26.39,10180
12057,Hills,758317,5/2/20,23.33,176926
12057,Hills ,758317,5/2/20,23.33,176926
12059,Holmes,7143,5/2/20,22.2,1586
12061,Indian-River,67346,5/2/20,27.08,18240
12063,Jackson,18057,5/2/20,23.63,4266
12065,Jefferson,5293,5/2/20,19.42,1028
12067,Lafayette,2930,5/2/20,18.87,553
12069,Lake,160396,5/2/20,25.99,41684
12071,Lee,344758,5/2/20,25.37,87468
12073,Leon,162686,5/2/20,24.27,39490
12075,Levy,16548,5/2/20,22.47,3718
12077,Liberty,2758,5/2/20,17.62,486
12079,Madison,6501,5/2/20,24.03,1562
12081,Manatee,181771,5/2/20,25.61,46543
12083,Marion,139376,5/2/20,25.08,34958
12085,Martin,72528,5/2/20,24.92,18076
12086,Miami-Dade,1422214,5/2/20,24.05,342066
12087,Monroe,40447,5/2/20,27.19,10996
12089,Nassau,41173,5/2/20,23.46,9661
12091,Okaloosa,97904,5/2/20,23.28,22790
12093,Okeechobee,16106,5/2/20,22.08,3556
12095,Orange,762933,5/2/20,25.2,192284
12097,Osceola,186357,5/2/20,29.54,55047
12099,Palm-Beach,750840,5/2/20,24.52,184091
12101,Pasco,240987,5/2/20,24.6,59279
12103,Pinellas,488923,5/2/20,24.63,120407
12105,Polk,319058,5/2/20,24.99,79731
12107,Putnam,28589,5/2/20,23.45,6705
12109,St-Johns,126696,5/2/20,23.3,29515
12111,St-Lucie,145874,5/2/20,27.43,40016
12113,Santa-Rosa,83297,5/2/20,24.09,20063
12115,Sarasota,182916,5/2/20,27.57,50421
12117,Seminole,252361,5/2/20,22.34,56380
12119,Sumter,32149,5/2/20,25,8038
12121,Suwannee,18550,5/2/20,22.43,4160
12123,Taylor,6887,5/2/20,24.58,1693
12125,Union,4036,5/2/20,19.25,777
12127,Volusia,245379,5/2/20,25.41,62355
12129,Wakulla,14950,5/2/20,19.56,2924
12131,Walton,34155,5/2/20,23.34,7973
12133,Washington,10000,5/2/20,22.1,2210
13001,Appling,7587,5/2/20,34.59,2624
13003,Atkinson,3711,5/2/20,37.35,1386
13005,Bacon,4521,5/2/20,31.76,1436
13007,Baker,1248,5/2/20,28.61,357
13009,Baldwin,19248,5/2/20,42.36,8154
13011,Banks,8843,5/2/20,38.12,3371
13013,Barrow,40912,5/2/20,40.31,16491
13015,Bartow,52763,5/2/20,40.23,21227
13017,Ben Hill,6300,5/2/20,37.9,2388
13017,Ben-Hill,6300,5/2/20,37.9,2388
13019,Berrien,7888,5/2/20,41.18,3248
13021,Bibb,67477,5/2/20,44.73,30183
13023,Bleckley,4674,5/2/20,37.25,1741
13025,Brantley,7310,5/2/20,38.69,2828
13027,Brooks,6684,5/2/20,34.02,2274
13029,Bryan,18722,5/2/20,39.16,7332
13031,Bulloch,38527,5/2/20,45.15,17396
13033,Burke,9186,5/2/20,39.4,3619
13035,Butts,9702,5/2/20,41.15,3992
13037,Calhoun,1865,5/2/20,36.78,686
13039,Camden,24095,5/2/20,41.23,9934
13043,Candler,4567,5/2/20,44.14,2016
13045,Carroll,57248,5/2/20,41.87,23969
13047,Catoosa,34651,5/2/20,41.75,14467
13049,Charlton,4978,5/2/20,36.8,1832
13051,Chatham,150577,5/2/20,42.61,64155
13053,Chattahoochee,2675,5/2/20,35.4,947
13055,Chattooga,9668,5/2/20,40.56,3921
13057,Cherokee,138232,5/2/20,40.87,56494
13059,Clarke,65353,5/2/20,50.97,33308
13061,Clay,1076,5/2/20,37.27,401
13063,Clayton,148493,5/2/20,41.02,60906
13065,Clinch,2370,5/2/20,39.11,927
