CO,NAME,LBF,UE19B,PU19B,UE07MAR,PU07MAR,UE14MAR,PU14MAR,UE21MAR,PU21MAR,UE28MAR,PU28MAR,UE04APR,PU04APR,UE11APR,PU11APR,UE18APR,PU18APR,UE25APR,PU25APR,UE02MAY,PU02MAY,UE09MAY,PU09MAY,UE16MAY,PU16MAY
"01001","Autauga County",25819,673,2.61,690,2.67,710,2.75,828,3.21,1703,6.60,2857,11.07,3695,14.31,4413,17.09,5223,20.23,5536,21.44,5825,22.56,6090,23.59
"01003","Baldwin County",102814,2688,2.61,2763,2.69,2846,2.77,3343,3.25,7039,6.85,11910,11.58,15447,15.02,18478,17.97,21899,21.30,23222,22.59,24439,23.77,25558,24.86
"01005","Barbour County",9431,353,3.74,359,3.81,367,3.89,411,4.36,742,7.87,1178,12.49,1495,15.85,1766,18.73,2072,21.97,2191,23.23,2300,24.39,2400,25.45
"01007","Bibb County",8679,268,3.09,273,3.15,280,3.23,317,3.65,598,6.89,968,11.15,1237,14.25,1467,16.90,1727,19.90,1828,21.06,1920,22.12,2005,23.10
"01009","Blount County",22196,580,2.61,593,2.67,608,2.74,698,3.14,1366,6.15,2247,10.12,2886,13.00,3434,15.47,4053,18.26,4292,19.34,4512,20.33,4714,21.24
"01011","Bullock County",4578,140,3.06,143,3.12,146,3.19,166,3.63,316,6.90,513,11.21,657,14.35,780,17.04,918,20.05,972,21.23,1021,22.30,1067,23.31
"01013","Butler County",8026,284,3.54,290,3.61,296,3.69,336,4.19,633,7.89,1025,12.77,1309,16.31,1553,19.35,1828,22.78,1934,24.10,2032,25.32,2122,26.44
"01015","Calhoun County",51415,1822,3.54,1862,3.62,1906,3.71,2169,4.22,4125,8.02,6702,13.04,8574,16.68,10179,19.80,11989,23.32,12689,24.68,13333,25.93,13926,27.09
"01017","Chambers County",15175,448,2.95,459,3.02,472,3.11,549,3.62,1124,7.41,1880,12.39,2430,16.01,2901,19.12,3433,22.62,3638,23.97,3827,25.22,4001,26.37
"01019","Cherokee County",10391,302,2.91,309,2.97,317,3.05,364,3.50,713,6.86,1175,11.31,1510,14.53,1797,17.29,2120,20.40,2246,21.61,2361,22.72,2467,23.74
"01021","Chilton County",18916,494,2.61,506,2.67,520,2.75,604,3.19,1226,6.48,2046,10.82,2642,13.97,3152,16.66,3729,19.71,3951,20.89,4156,21.97,4345,22.97
