,name,date,fips,lat,long,confirmed,deaths,confirmed_diff,deaths_diff,state,state_abbr,lockdown_date,lockdown_plus_30
2808,Autauga,2020-05-03,1001.0,32.53952745,-86.64408227,48,3,3,0,Alabama,AL,2020-04-03,2020-05-03
2809,Baldwin,2020-05-03,1003.0,30.72774991,-87.72207058,187,4,6,0,Alabama,AL,2020-04-03,2020-05-03
2810,Barbour,2020-05-03,1005.0,31.868263,-85.3871286,45,1,2,0,Alabama,AL,2020-04-03,2020-05-03
2811,Bibb,2020-05-03,1007.0,32.99642064,-87.12511459999996,43,0,1,0,Alabama,AL,2020-04-03,2020-05-03
2812,Blount,2020-05-03,1009.0,33.98210918,-86.56790593,40,0,0,0,Alabama,AL,2020-04-03,2020-05-03
2813,Bullock,2020-05-03,1011.0,32.10030533,-85.71265535,14,0,0,0,Alabama,AL,2020-04-03,2020-05-03
2814,Butler,2020-05-03,1013.0,31.75300095,-86.68057478,105,1,13,0,Alabama,AL,2020-04-03,2020-05-03
2815,Calhoun,2020-05-03,1015.0,33.77483727,-85.82630386,105,3,7,0,Alabama,AL,2020-04-03,2020-05-03
2816,Chambers,2020-05-03,1017.0,32.91360079,-85.39072749,300,21,6,0,Alabama,AL,2020-04-03,2020-05-03
2817,Cherokee,2020-05-03,1019.0,34.17805983,-85.60638968,16,0,1,0,Alabama,AL,2020-04-03,2020-05-03
2818,Chilton,2020-05-03,1021.0,32.85044126,-86.7173256,57,1,3,0,Alabama,AL,2020-04-03,2020-05-03
2819,Choctaw,2020-05-03,1023.0,32.02227341,-88.26564429999998,49,0,0,0,Alabama,AL,2020-04-03,2020-05-03
2820,Clarke,2020-05-03,1025.0,31.68099859,-87.83548597,42,1,4,0,Alabama,AL,2020-04-03,2020-05-03
2821,Clay,2020-05-03,1027.0,33.26984193,-85.85836077,22,1,1,0,Alabama,AL,2020-04-03,2020-05-03
2822,Cleburne,2020-05-03,1029.0,33.67679204,-85.52005899,12,1,0,0,Alabama,AL,2020-04-03,2020-05-03
2823,Coffee,2020-05-03,1031.0,31.39932826,-85.98901039,130,0,12,0,Alabama,AL,2020-04-03,2020-05-03
2824,Colbert,2020-05-03,1033.0,34.69847452,-87.80168544,41,2,4,0,Alabama,AL,2020-04-03,2020-05-03
