,name,date,fips,lat,long,confirmed,deaths,confirmed_diff,deaths_diff,last_update,state,state_abbr
161205,Abbeville,5/17/20,45001,34.22333378,-82.46170658,35,0,1,0,5/18/20 2:32,South Carolina,SC
160071,Acadia,5/17/20,22001,30.2950649,-92.41419698,198,12,6,1,5/18/20 2:32,Louisiana,LA
161656,Accomack,5/17/20,51001,37.76707161,-75.63234615,688,9,20,0,5/18/20 2:32,Virginia,VT
159538,Ada,5/17/20,16001,43.4526575,-116.2415516,773,22,0,0,5/18/20 2:32,Idaho,ID
159770,Adair,5/17/20,19001,41.33075609,-94.47105874,5,0,1,0,5/18/20 2:32,Iowa,IA
159956,Adair,5/17/20,21001,37.10459774,-85.28129668,92,14,0,0,5/18/20 2:32,Kentucky,KY
160442,Adair,5/17/20,29001,40.19058551,-92.60078167,26,0,3,0,5/18/20 2:32,Missouri,MO
161023,Adair,5/17/20,40001,35.88494195,-94.65859267,75,3,1,0,5/18/20 2:32,Oklahoma,OK
159228,Adams,5/17/20,8001,39.87432092,-104.3362578,2613,102,38,0,5/18/20 2:32,Colorado,CO
159539,Adams,5/17/20,16003,44.89333571,-116.4545247,3,0,0,0,5/18/20 2:32,Idaho,ID
159574,Adams,5/17/20,17001,39.98815591,-91.18786813,42,1,0,0,5/18/20 2:32,Illinois,IL
159677,Adams,5/17/20,18001,40.7457653,-84.93671406,9,1,0,0,5/18/20 2:32,Indiana,IN
159771,Adams,5/17/20,19003,41.02903567,-94.69932645,1,0,1,0,5/18/20 2:32,Iowa,IA
160360,Adams,5/17/20,28001,31.47669768,-91.35326037,172,15,1,0,5/18/20 2:32,Mississippi,MS
160577,Adams,5/17/20,31001,40.5244942,-98.50117804,252,3,1,0,5/18/20 2:32,Nebraska,NE
160934,Adams,5/17/20,39001,38.84541072,-83.4718964,8,0,0,0,5/18/20 2:32,Ohio,OH
161131,Adams,5/17/20,42001,39.87140411,-77.21610347,189,6,4,0,5/18/20 2:32,Pennsylvania,PA
161790,Adams,5/17/20,53001,46.98299757,-118.5601734,50,0,0,0,5/18/20 2:32,Washington,WA
161884,Adams,5/17/20,55001,43.96974651,-89.76782777,4,1,0,0,5/18/20 2:32,Wisconsin,WI
161641,Addison,5/17/20,50001,44.03217337,-73.14130877,62,2,0,0,5/18/20 2:32,Vermont,VA
161206,Aiken,5/17/20,45003,33.54338026,-81.63645384,154,7,4,0,5/18/20 2:32,South Carolina,SC
160276,Aitkin,5/17/20,27001,46.60962049,-93.4116826,3,0,0,0,5/18/20 2:32,Minnesota,MN
159303,Alachua,5/17/20,12001,29.67866525,-82.35928158,332,7,3,0,5/18/20 2:32,Florida,FL
160793,Alamance,5/17/20,37001,36.0434701,-79.39976137,217,11,14,2,5/18/20 2:32,North Carolina,NC
159172,Alameda,5/17/20,6001,37.64629437,-121.8929271,2392,83,41,0,5/18/20 2:32,California,CA
159229,Alamosa,5/17/20,8003,37.57250606,-105.7885451,41,2,2,0,5/18/20 2:32,Colorado,CO
160734,Albany,5/17/20,36001,42.60060306,-73.97723916,1579,68,7,0,5/18/20 2:32,New York,NY
161955,Albany,5/17/20,56001,41.65498705,-105.7235415,9,0,0,0,5/18/20 2:32,Wyoming,WY
161657,Albemarle,5/17/20,51003,38.02080697,-78.55481085,138,4,2,0,5/18/20 2:32,Virginia,VT
160192,Alcona,5/17/20,26001,44.6846864,-83.59507875,6,1,0,0,5/18/20 2:32,Michigan,MI
160361,Alcorn,5/17/20,28003,34.88084463,-88.57996173,12,1,0,0,5/18/20 2:32,Mississippi,MS
159575,Alexander,5/17/20,17003,37.18049267,-89.32910838,8,0,0,0,5/18/20 2:32,Illinois,IL
160794,Alexander,5/17/20,37003,35.9223796,-81.17751948,21,0,3,0,5/18/20 2:32,North Carolina,NC
161658,Alexandria,5/17/20,51510,38.814003,-77.08183073,1476,34,16,0,5/18/20 2:32,Virginia,VT
161024,Alfalfa,5/17/20,40003,36.73090616,-98.32408495,1,0,0,0,5/18/20 2:32,Oklahoma,OK
159772,Allamakee,5/17/20,19005,43.28383218,-91.37860922,114,4,-2,0,5/18/20 2:32,Iowa,IA
160193,Allegan,5/17/20,26005,42.59147037,-85.89102866,179,2,5,0,5/18/20 2:32,Michigan,MI
160153,Allegany,5/17/20,24001,39.62357628,-78.69280486,161,13,1,0,5/18/20 2:32,Maryland,MD
160735,Allegany,5/17/20,36003,42.25748406,-78.02750466,44,0,0,0,5/18/20 2:32,New York,NY
160795,Alleghany,5/17/20,37005,36.49360862,-81.12857041,11,0,0,0,5/18/20 2:32,North Carolina,NC
161659,Alleghany,5/17/20,51005,37.78636074,-80.00222498,7,0,1,0,5/18/20 2:32,Virginia,VT
161132,Allegheny,5/17/20,42003,40.46809875,-79.98167747,1603,143,8,0,5/18/20 2:32,Pennsylvania,PA
159678,Allen,5/17/20,18003,41.09194313,-85.06800636,996,61,11,0,5/18/20 2:32,Indiana,IN
159957,Allen,5/17/20,21003,36.75197631,-86.19457544,38,1,0,0,5/18/20 2:32,Kentucky,KY
160072,Allen,5/17/20,22003,30.65385745,-92.82442028,100,10,1,0,5/18/20 2:32,Louisiana,LA
160935,Allen,5/17/20,39003,40.77285242,-84.10802343,167,30,2,0,5/18/20 2:32,Ohio,OH
161207,Allendale,5/17/20,45005,32.98837386,-81.35321066,33,3,2,0,5/18/20 2:32,South Carolina,SC
160194,Alpena,5/17/20,26007,45.03477666,-83.62212411,91,9,0,0,5/18/20 2:32,Michigan,MI
159173,Alpine,5/17/20,6003,38.59678594,-119.8223594,2,0,0,0,5/18/20 2:32,California,CA
159174,Amador,5/17/20,6005,38.44583082,-120.65696,9,0,0,0,5/18/20 2:32,California,CA
161660,Amelia,5/17/20,51007,37.34081025,-77.98584649,18,1,0,0,5/18/20 2:32,Virginia,VT
161661,Amherst,5/17/20,51009,37.60308293,-79.14548696,25,0,1,0,5/18/20 2:32,Virginia,VT
160362,Amite,5/17/20,28005,31.17467303,-90.80501621,46,0,0,0,5/18/20 2:32,Mississippi,MS
159066,Anchorage,5/17/20,2020,61.14998174,-149.1426986,199,4,0,0,5/18/20 2:32,Alaska,AK
159869,Anderson,5/17/20,20003,38.21413251,-95.29272815,1,0,0,0,5/18/20 2:32,Kansas,KS
159958,Anderson,5/17/20,21005,38.00671029,-84.99171713,10,1,0,0,5/18/20 2:32,Kentucky,KY
161208,Anderson,5/17/20,45007,34.51828081,-82.63959517,207,8,1,0,5/18/20 2:32,South Carolina,SC
161306,Anderson,5/17/20,47001,36.12684348,-84.19965764,36,1,0,0,5/18/20 2:32,Tennessee,TN
161403,Anderson,5/17/20,48001,31.81534745,-95.65354823,54,0,0,0,5/18/20 2:32,Texas,TX
160443,Andrew,5/17/20,29003,39.98492163,-94.80163024,15,0,1,0,5/18/20 2:32,Missouri,MO
161404,Andrews,5/17/20,48003,32.30468633,-102.6376548,22,0,0,0,5/18/20 2:32,Texas,TX
160136,Androscoggin,5/17/20,23001,44.1664747,-70.20380627,131,2,11,0,5/18/20 2:32,Maine,ME
161405,Angelina,5/17/20,48005,31.25457347,-94.60901487,139,1,0,0,5/18/20 2:32,Texas,TX
160154,Anne Arundel,5/17/20,24003,39.00670238,-76.60329337,2856,142,55,1,5/18/20 2:32,Maryland,MD
160277,Anoka,5/17/20,27003,45.27476015,-93.24604565,821,40,51,0,5/18/20 2:32,Minnesota,MN
160796,Anson,5/17/20,37007,34.97403241,-80.09953279,49,0,3,0,5/18/20 2:32,North Carolina,NC
160578,Antelope,5/17/20,31003,42.17695516,-98.0666283,5,0,0,0,5/18/20 2:32,Nebraska,NE
160195,Antrim,5/17/20,26009,44.99690221,-85.15503082,11,0,0,0,5/18/20 2:32,Michigan,MI
159081,Apache,5/17/20,4001,35.39465006,-109.4892383,981,20,19,0,5/18/20 2:32,Arizona,AZ
159773,Appanoose,5/17/20,19007,40.74324454,-92.86865906,8,3,1,0,5/18/20 2:32,Iowa,IA
159371,Appling,5/17/20,13001,31.74847232,-82.28909114,108,11,0,1,5/18/20 2:32,Georgia,GA
161662,Appomattox,5/17/20,51011,37.37569884,-78.81340003,23,0,0,0,5/18/20 2:32,Virginia,VT
161406,Aransas,5/17/20,48007,28.10556197,-96.9995047,3,0,0,0,5/18/20 2:32,Texas,TX
159230,Arapahoe,5/17/20,8005,39.64977461,-104.3353617,3703,254,51,10,5/18/20 2:32,Colorado,CO
161407,Archer,5/17/20,48009,33.61569967,-98.68754589,1,0,0,0,5/18/20 2:32,Texas,TX
159231,Archuleta,5/17/20,8007,37.19474156,-107.0476867,8,0,0,0,5/18/20 2:32,Colorado,CO
160196,Arenac,5/17/20,26011,44.0636262,-83.89277559,30,1,0,0,5/18/20 2:32,Michigan,MI
159097,Arkansas,5/17/20,5001,34.29145151,-91.37277296,2,0,0,0,5/18/20 2:32,Arkansas,AR
161663,Arlington,5/17/20,51013,38.8767675,-77.10139853,1590,75,30,1,5/18/20 2:32,Virginia,VT
161133,Armstrong,5/17/20,42005,40.81665618,-79.46290811,58,5,0,0,5/18/20 2:32,Pennsylvania,PA
161408,Armstrong,5/17/20,48011,34.96507426,-101.3574874,2,0,0,0,5/18/20 2:32,Texas,TX
160137,Aroostook,5/17/20,23003,46.65926321,-68.59841248,7,0,0,0,5/18/20 2:32,Maine,ME
160579,Arthur,5/17/20,31005,41.56896142,-101.6959559,0,0,0,0,5/18/20 2:32,Nebraska,NE
160073,Ascension,5/17/20,22005,30.20406249,-90.9132841,756,49,4,0,5/18/20 2:32,Louisiana,LA
160797,Ashe,5/17/20,37009,36.43296207,-81.49862729,27,0,1,0,5/18/20 2:32,North Carolina,NC
160936,Ashland,5/17/20,39005,40.84772277,-82.27280781,15,0,0,0,5/18/20 2:32,Ohio,OH
161885,Ashland,5/17/20,55003,46.31956891,-90.67837132,2,0,0,0,5/18/20 2:32,Wisconsin,WI
159098,Ashley,5/17/20,5003,33.19153461,-91.7698471,18,0,0,0,5/18/20 2:32,Arkansas,AR
160937,Ashtabula,5/17/20,39007,41.70860332,-80.74830218,232,26,3,0,5/18/20 2:32,Ohio,OH
161791,Asotin,5/17/20,53003,46.18894415,-117.2022851,18,2,0,0,5/18/20 2:32,Washington,WA
160074,Assumption,5/17/20,22007,29.89946234,-91.06461642,230,11,1,0,5/18/20 2:32,Louisiana,LA
161409,Atascosa,5/17/20,48013,28.89333001,-98.52730485,30,1,0,0,5/18/20 2:32,Texas,TX
159870,Atchison,5/17/20,20005,39.53185661,-95.30870026,15,0,0,0,5/18/20 2:32,Kansas,KS
160444,Atchison,5/17/20,29005,40.43238737,-95.42970639,2,0,0,0,5/18/20 2:32,Missouri,MO
160938,Athens,5/17/20,39009,39.33425634,-82.04278644,8,1,0,0,5/18/20 2:32,Ohio,OH
159372,Atkinson,5/17/20,13003,31.29633502,-82.87545866,20,2,0,0,5/18/20 2:32,Georgia,GA
160679,Atlantic,5/17/20,34001,39.47538693,-74.65848483,1758,112,42,2,5/18/20 2:32,New Jersey,NJ
161025,Atoka,5/17/20,40005,34.37366573,-96.03802487,1,0,0,0,5/18/20 2:32,Oklahoma,OK
160363,Attala,5/17/20,28007,33.08658803,-89.57838564,249,7,16,0,5/18/20 2:32,Mississippi,MS
160445,Audrain,5/17/20,29007,39.215877,-91.84242683,2,0,0,0,5/18/20 2:32,Missouri,MO
159774,Audubon,5/17/20,19009,41.6844628,-94.90581859,11,1,0,0,5/18/20 2:32,Iowa,IA
160939,Auglaize,5/17/20,39011,40.55998859,-84.2242143,54,3,0,0,5/18/20 2:32,Ohio,OH
161664,Augusta,5/17/20,51015,38.16404586,-79.12461614,84,1,2,0,5/18/20 2:32,Virginia,VT
161252,Aurora,5/17/20,46003,43.71757685,-98.56050467,3,0,1,0,5/18/20 2:32,South Dakota,SD
161410,Austin,5/17/20,48015,29.88548725,-96.27736949,19,0,0,0,5/18/20 2:32,Texas,TX
158998,Autauga,5/17/20,1001,32.53952745,-86.64408227,110,4,0,0,5/18/20 2:32,Alabama,AL
160075,Avoyelles,5/17/20,22009,31.07796211,-92.00079449,92,9,3,0,5/18/20 2:32,Louisiana,LA
159232,Baca,5/17/20,8009,37.31940883,-102.5603223,12,0,0,0,5/18/20 2:32,Colorado,CO
159373,Bacon,5/17/20,13005,31.55456473,-82.45936528,60,2,1,0,5/18/20 2:32,Georgia,GA
161411,Bailey,5/17/20,48017,34.06854817,-102.8299707,6,0,0,0,5/18/20 2:32,Texas,TX
159304,Baker,5/17/20,12003,30.33060121,-82.28467476,26,3,0,0,5/18/20 2:32,Florida,FL
159374,Baker,5/17/20,13007,31.32669878,-84.44218806,33,2,0,0,5/18/20 2:32,Georgia,GA
161097,Baker,5/17/20,41001,44.70915557,-117.6749883,1,0,0,0,5/18/20 2:32,Oregon,OR
158999,Baldwin,5/17/20,1003,30.72774991,-87.72207058,254,8,0,0,5/18/20 2:32,Alabama,AL
159375,Baldwin,5/17/20,13009,33.06882326,-83.24701748,287,14,3,2,5/18/20 2:32,Georgia,GA
159959,Ballard,5/17/20,21007,37.05842757,-88.99427697,10,0,0,0,5/18/20 2:32,Kentucky,KY
160155,Baltimore,5/17/20,24005,39.45784712,-76.62911955,4624,250,75,10,5/18/20 2:32,Maryland,MD
160156,Baltimore City,5/17/20,24510,39.30211911,-76.61151012,3798,203,79,3,5/18/20 2:32,Maryland,MD
161209,Bamberg,5/17/20,45009,33.21927586,-81.05659969,17,0,1,0,5/18/20 2:32,South Carolina,SC
161412,Bandera,5/17/20,48019,29.74619598,-99.24598147,6,0,0,0,5/18/20 2:32,Texas,TX
159376,Banks,5/17/20,13011,34.35607081,-83.49644388,43,0,0,0,5/18/20 2:32,Georgia,GA
159540,Bannock,5/17/20,16005,42.67002716,-112.2233311,14,0,0,0,5/18/20 2:32,Idaho,ID
160197,Baraga,5/17/20,26013,46.6720582,-88.36363591,1,0,0,0,5/18/20 2:32,Michigan,MI
159871,Barber,5/17/20,20007,37.2288586,-98.68460053,1,0,0,0,5/18/20 2:32,Kansas,KS
159000,Barbour,5/17/20,1005,31.868263,-85.3871286,81,1,2,0,5/18/20 2:32,Alabama,AL
161830,Barbour,5/17/20,54001,39.1307219,-80.00350858,7,1,0,0,5/18/20 2:32,West Virginia,WV
160893,Barnes,5/17/20,38003,46.93579637,-98.06605978,4,0,0,0,5/18/20 2:32,North Dakota,ND
160178,Barnstable,5/17/20,25001,41.72980578,-70.28854339,1150,93,3,3,5/18/20 2:32,Massachusetts,MA
161210,Barnwell,5/17/20,45011,33.26679302,-81.43584352,40,1,0,0,5/18/20 2:32,South Carolina,SC
159960,Barren,5/17/20,21009,36.96469836,-85.93338945,34,0,0,0,5/18/20 2:32,Kentucky,KY
