,ST,STATE,COUNTY,fips,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,confirmed,deaths,confirmed_diff,deaths_diff,county_name,labor_force,file_week_ended,percent_unemployed,total_unemployed,percent_confirmed,percent_deaths
0,1,ALABAMA,Autauga,1001,594.4434589,55200,23315,21115,8422,1065,29372,4204,8050,13369,10465,1586,13788,426,886,4279,299,1191,546,110,4,0,0,Autauga ,25819,5/2/20,25.54,6593,3.4376e-05,1.25e-06
1,1,ALABAMA,Blount,1009,644.8304602000001,57645,24222,20600,8220,909,22656,7861,10233,13468,8114,1437,7413,934,211,6108,339,856,543,46,1,1,1,Blount,22196,5/2/20,22.97,5098,1.43754e-05,3.125e-07
2,1,ALABAMA,Butler,1013,776.8382008,20025,10026,6708,4640,567,20430,2141,3806,4566,3492,704,9641,93,134,2625,119,520,322,272,9,1,0,Butler,8026,5/2/20,28.57,2293,8.50024e-05,2.8126e-06
3,1,ALABAMA,Calhoun,1015,605.8672514,115098,53682,45033,20819,4628,24706,12620,19386,25196,23598,4701,31675,1076,1990,7904,772,2599,3112,130,3,0,0,Calhoun,51415,5/2/20,29.27,15051,4.06261e-05,9.375e-07
4,1,ALABAMA,Chambers,1017,596.5606429999999,33826,16981,13516,5531,773,22827,4383,6409,7006,5570,1307,14954,36,679,2378,404,989,512,328,22,0,0,Chambers,15175,5/2/20,28.54,4331,0.0001025029,6.8752e-06
5,1,ALABAMA,Coffee,1031,678.9858207999999,51288,23088,19789,7604,1371,27577,4833,8375,12161,8788,1928,15065,664,215,3140,272,1189,601,166,1,2,0,Coffee,23168,5/2/20,26.03,6030,5.18765e-05,3.125e-07
6,1,ALABAMA,Colbert,1033,592.7446865000001,54495,26466,21799,8785,1397,24918,6016,10502,11608,10086,1791,11630,175,587,2455,83,1322,436,91,2,4,0,Colbert,23614,5/2/20,29.08,6867,2.84383e-05,6.25e-07
7,1,ALABAMA,Covington,1039,1030.556053,37351,18907,15008,6702,1428,23071,4530,7650,8190,7703,1358,6205,129,249,4081,320,785,666,57,1,0,0,Covington,15882,5/2/20,24.6,3907,1.7813e-05,3.125e-07
8,1,ALABAMA,Cullman,1043,734.7802988,82313,37652,30730,12831,1903,22980,10405,14803,18572,14310,2057,6487,447,959,8615,555,1279,1200,69,0,0,0,Cullman,34360,5/2/20,25.11,8627,2.15631e-05,0.0
9,1,ALABAMA,Dale,1045,561.1006284,49255,23065,18670,8798,1738,23837,4732,7939,11506,9906,1538,15250,461,277,4200,313,1023,1263,60,0,0,0,Dale,19535,5/2/20,26.62,5200,1.87505e-05,0.0
10,1,ALABAMA,Elmore,1051,618.4462511,81212,34004,29143,9462,2219,27475,7594,11770,18239,13646,2679,21741,509,895,5123,422,1364,4424,192,6,4,0,Elmore,35835,5/2/20,23.79,8524,6.00017e-05,1.8751e-06
